Date,SBL,SBL_S,Price
1/3,16756,16029,244.5
1/4,16664,15896,240
1/5,17214,16204,240
1/6,16864,16217,241.5
1/9,16858,16362,245
1/10,17052,16695,238
1/11,17914,17231,237
1/12,17753,17373,226.5
1/13,17968,17234,232
1/16,18012,17268,241
1/17,17620,17110,244.5
1/30,16348,15865,250.5
1/31,16492,16039,269
2/1,16008,15477,260.5
2/2,15810,15147,264.5
2/3,15254,14733,263
2/6,15227,14783,265
2/7,15082,14748,273
2/8,15197,14907,288
2/9,14787,14522,284
2/10,14592,14422,290
2/13,14388,14234,278
2/14,14278,14151,271
2/15,14119,13994,271.5
2/16,13902,13792,276
2/17,14100,13885,275.5
2/20,15092,14493,280
2/21,15223,15115,276
2/22,16000,15767,266
2/23,16345,16098,266.5
2/24,16508,16290,262
3/1,16741,16593,261
3/2,17124,17057,270.5
3/3,17480,17387,267
3/6,17701,17501,269.5
3/7,18067,17986,267
3/8,17914,17890,264
3/9,17695,17683,264
3/10,18160,18155,258.5
3/13,18274,18272,256.5
3/14,18383,18383,253.5
3/15,18422,18398,260
3/16,18706,18216,250.5
3/17,18918,18314,254
3/20,18840,18267,254.5
3/21,18705,18172,254.5
3/22,18349,17828,260.5
3/23,18707,18195,261.5
3/24,18546,18196,269
3/27,18411,18080,269
3/28,17974,17734,261.5
3/29,17730,17490,270.5
3/30,17664,17443,270.5
3/31,17215,17008,267
4/6,16773,16759,271.5
4/7,16555,16541,272.5
4/10,16852,16791,267.5
4/11,16323,16312,267
4/12,16267,15980,270
4/13,16282,15738,279
4/14,16586,16045,274.5
4/17,16252,15711,275
4/18,16259,15718,278.5
4/19,16212,15671,281
4/20,16960,16179,270.5
4/21,17612,16841,253
4/24,18805,17515,251
4/25,19880,17845,242
4/26,20226,18013,239.5
4/27,19909,18002,238
4/28,20162,18527,241
5/2,20408,18651,248.5
5/3,20477,18767,245.5
5/4,20174,18795,247
5/5,20401,18919,245
5/8,20553,18748,239.5
5/9,20758,19199,239.5
5/10,20307,18935,242.5
5/11,20423,18978,237
5/12,20518,19531,224
5/15,20790,19624,221
5/16,20605,19391,226
5/17,20159,18926,229
5/18,20110,18896,227
5/19,20212,18933,223.5
5/22,20234,19001,228.5
5/23,19834,18892,232
5/24,19545,18604,228.5
5/25,19469,18519,225
5/26,19340,18486,220.5
5/29,19100,18534,224.5
5/30,18895,18360,223
5/31,18576,18120,230.5
6/1,18562,18058,228
6/2,18585,18016,239.5
6/5,18863,18128,236
6/6,19197,18109,239.5
6/7,19909,18103,240
6/8,19552,18025,233.5
6/9,17909,17477,239
6/12,17612,17181,241
6/13,17468,17052,240
6/14,17403,17067,236.5
6/15,17764,17188,230.5
6/16,17168,16859,216
6/19,16947,16661,216
6/20,17016,16641,215.5
6/21,17207,16841,210
6/26,18158,17027,209.5
6/27,18531,17409,220
6/28,18621,17500,219.5
6/29,18623,17518,220
6/30,20203,17601,216
7/3,20291,17716,212
7/4,20328,17799,210
7/5,20514,17995,209
7/6,20764,18272,206
7/7,20800,18505,205
7/10,21014,18831,208
7/11,21209,19063,205.5
7/12,21607,19524,202
7/13,21978,19995,192.5
7/14,22199,20214,198
7/17,22256,20299,210
7/18,22378,20438,202.5
7/19,21261,20383,208
7/20,21170,20315,211
7/21,21106,20225,205
7/24,20914,20054,203.5
7/25,20784,19924,206.5
7/26,20844,19743,200.5
7/27,20390,19549,200
7/28,20550,19547,198.5
7/31,20501,19702,194
8/1,22286,19727,194.5
8/2,22510,19736,189
8/4,22570,19721,192
8/7,22773,19997,188
8/8,22832,20094,184
8/9,22934,20218,184
8/10,23040,20343,183.5
8/11,22989,20313,184.5
8/14,23264,20362,175.5
8/15,23127,20238,181
8/16,22255,19383,186.5
8/17,21974,18831,186.5
8/18,21187,18223,184
8/21,21037,18080,188.5
8/22,21357,18332,183.5
8/23,21070,18078,182
8/24,20714,17729,181
8/25,20449,17466,181.5
8/28,20285,17280,182.5
8/29,20452,17126,188
8/30,19815,16799,198
8/31,20249,17119,198.5
9/1,20490,17342,195
9/4,20355,17188,195
9/5,20420,17325,181.5
9/6,20231,17314,179
9/7,20594,17471,177.5
9/8,20781,17706,179
9/11,20595,17815,179
9/12,20622,17860,180.5
9/13,21357,17985,180
9/14,21043,17833,183
9/15,21362,17774,186
9/18,21111,17577,185
9/19,21025,17490,181
9/20,20931,17407,179.5
9/21,20747,17276,176.5
9/22,20739,17100,176.5
9/25,20495,17031,178.5
9/26,20434,16977,173.5
9/27,19626,16829,177
9/28,19538,16789,174.5
10/2,20751,16806,176.5
10/3,20000,16964,172
10/4,20081,17095,168.5
10/5,19868,17102,174
10/6,19419,16771,176.5
10/11,19234,16594,176.5
10/12,18678,16193,176
10/13,18525,16034,173.5
10/16,18407,15958,181.5
10/17,18443,15997,180
10/18,18228,15750,175
10/19,18491,16030,190.5
10/20,18737,16279,183.5
10/23,18589,16143,189
10/24,19148,16570,189.5
10/25,19158,16587,194.5
10/26,19332,16764,197
10/27,19559,17049,203.5
10/30,19793,17323,198
10/31,19728,17279,196
11/1,19528,17075,195.5
11/2,19291,16871,192
11/3,19221,16804,193
11/6,19156,16753,198
11/7,19191,16681,217.5
11/8,19949,17377,226.5
11/9,20170,17774,230.5
11/10,19927,17370,220.5
11/13,20155,17670,218
11/14,19758,17389,211.5
11/15,18545,16176,214
11/16,19103,16515,211.5
11/17,18906,16413,206.5
11/20,18817,16365,206
11/21,18948,16508,205.5
11/22,19962,17189,204.5
11/23,19939,17260,204
11/24,19875,17259,205
11/27,19700,17261,204
11/28,19683,17250,204
11/29,19836,17346,208
11/30,20504,17706,205
12/1,20273,17778,205
12/4,20278,17850,205
12/5,20821,18295,198
12/6,20892,18450,195.5
12/7,23089,18528,193.5
12/8,22858,18694,193.5
12/11,21157,18807,191
12/12,21018,18709,194.5
12/13,21342,19035,191
12/14,21392,19126,193
12/15,21609,19275,196.5
12/18,21716,19473,193.5
12/19,21683,19407,191.5
12/20,21683,19407,191.5
12/21,21662,19386,192.5
12/22,21687,19411,194.5
12/25,21643,19367,192.5
12/26,21392,19117,197
12/27,21603,19328,196.5
12/28,21620,19346,192.5
12/29,21620,19351,194.5
1/2,21519,19250,193.5
1/3,21519,19213,192
1/4,21581,19217,183
1/5,21457,19167,184.5
1/8,21242,18952,183.5
1/9,20978,18574,182
1/10,20820,18490,183.5
1/11,20781,18498,184
1/12,20702,18425,180
1/15,20642,18390,182.5
1/16,21067,18386,177.5
1/17,20747,18370,172.5
1/18,20586,18190,172.5
1/19,20442,17744,175.5
1/22,20656,17776,179.5
1/23,20862,18033,179.5
1/24,21405,18412,176.5
1/25,21377,18442,174
1/26,21413,18488,176.5
1/29,22057,18555,175.5
1/30,21727,18849,172.5
1/31,21840,18970,173
2/1,21704,18860,173
2/2,21188,18600,174
2/5,21060,18555,172.5
2/15,21252,18694,173
2/16,21165,18581,177
2/19,21112,18552,178
