Date,SBL,SBL_S,Price
4/3,8507,7777,364
4/8,8562,7847,367.5
4/9,8534,7837,359.5
4/10,8472,7827,353.5
4/11,8265,7804,356
4/12,8271,7759,360
4/15,7978,7755,337.5
4/16,7596,7381,327
4/17,7562,7430,335
4/18,7618,7495,364
4/19,7484,7301,351.5
4/22,8125,7428,333.5
4/23,8519,7733,329
4/24,8719,7839,361.5
4/25,8824,7989,368
4/26,9300,8235,383.5
4/29,9324,8242,394
4/30,9340,8260,433
5/2,8582,7832,423
5/3,9365,8084,417
5/6,9045,7504,412
5/7,8809,7525,409
5/8,7865,7413,414.5
5/9,8583,7139,425
5/10,6991,6665,422.5
5/13,6862,6526,424
5/14,6879,6542,429
5/15,6859,6545,427
5/16,6822,6509,437
5/17,6769,6457,442.5
5/20,6774,6442,427
5/21,6690,6374,436
5/22,6252,5941,439
5/23,6107,5775,478
5/24,5898,5700,495
5/27,5976,5736,511
5/28,6539,5330,496
5/29,5565,5337,498.5
5/30,6449,5348,501
5/31,5786,5302,500
6/3,5199,4741,491
6/4,5174,4715,504
6/5,5131,4676,468
6/6,5124,4702,479.5
6/7,5121,4695,492
6/11,5071,4682,475
6/12,4816,4628,478
6/13,4818,4620,487
6/14,4794,4617,505
6/17,4858,4685,504
6/18,5889,4904,474.5
6/19,5657,4887,470
6/20,5764,4763,482
6/21,5636,4691,464
6/24,5960,4735,464
6/25,5956,4713,469
6/26,5816,4578,486.5
6/27,5806,4543,474
6/28,5697,4433,482
7/1,6162,4894,450
7/2,5873,4796,464
7/3,5899,4842,492
7/4,5481,4737,482.5
7/5,5377,4667,490
7/8,5901,4723,475
7/9,5547,4603,473
7/10,5213,4266,468.5
7/11,5250,4241,461.5
7/12,5070,4119,454
7/15,4972,4017,409
7/16,4881,3934,400.5
7/17,5319,3817,396
7/18,5283,3768,390
7/19,5268,3682,385
7/22,5409,3611,374
7/23,5908,3195,391
7/26,6908,3322,374
7/29,7293,3721,344.5
7/30,7051,3789,361.5
7/31,7297,3762,351.5
8/1,7648,3822,364
8/2,7845,3990,328
8/5,7703,3954,295.5
8/6,7885,3895,282
8/7,7944,3681,310
8/8,7154,3050,297
8/9,7290,3125,314
8/12,6918,3131,331.5
8/13,6767,3142,334
8/14,6497,3078,338
8/15,6217,3110,336
8/16,6109,3131,350
8/19,6020,3105,352
8/20,5907,3127,359
8/21,5815,3142,356
8/22,5605,3230,364
8/23,5696,3424,364.5
8/26,5703,3539,362
8/27,5783,3446,379
8/28,6518,3714,374
8/29,6801,3808,362.5
8/30,6886,3936,371.5
9/2,6569,3922,370
9/3,6674,3797,364.5
9/4,7092,3921,345
9/5,6827,3908,359.5
9/6,6898,3922,363
9/9,6834,4051,399
9/10,7472,4469,371
9/11,7336,4360,382.5
9/12,6976,4506,398.5
9/13,6244,4498,398.5
9/16,5868,4444,378.5
9/18,5384,4295,372
9/19,5522,4179,402
9/20,4529,4035,395
9/23,4333,3869,400
9/24,4338,3906,408
9/25,4625,3932,430
9/26,4625,3940,430
9/27,4666,3985,415.5
9/30,4411,3731,411.5
10/1,3795,3426,405
10/4,3744,3392,390.5
10/7,3775,3374,351.5
10/8,4290,3598,355
10/9,4832,3671,352
10/11,4842,3681,336
10/14,5362,3758,354
10/15,5352,3733,359.5
10/16,5731,3454,356
10/17,4896,3028,349
10/18,5141,3048,346
10/21,5217,3027,351.5
10/22,5215,3022,343
10/23,4570,2730,350
10/24,5384,3096,336
10/25,5205,3200,332.5
10/28,5215,3224,325.5
10/29,5220,3169,315.5
10/30,5441,3227,322
11/1,5248,3084,305
11/4,5317,3011,309.5
11/5,5102,2796,304
11/6,5074,2768,313
11/7,5212,2702,309
11/8,5175,2663,305.5
11/11,5154,2643,313
11/12,5546,2674,301.5
11/13,5705,2617,308.5
11/14,5588,2513,294.5
11/15,4874,2607,323.5
11/18,5594,3189,311.5
11/19,6505,3619,342.5
11/20,6544,3912,341
11/21,7422,4140,332
11/22,7631,4288,329.5
11/25,7756,4450,333.5
11/26,7845,4487,322.5
11/27,8089,4603,331
11/28,8566,4822,319.5
11/29,8772,4835,339.5
12/2,8838,4844,353
12/3,8868,4878,349.5
12/4,8576,4797,351.5
12/5,8471,4867,347
12/6,8551,5019,343
12/9,8550,5185,340.5
12/10,8073,5141,335.5
12/11,7827,5010,335
12/12,7989,5095,326.5
12/13,7906,5171,330
12/16,8251,5458,309.5
12/17,8208,5450,315.5
12/18,8472,5716,330
12/19,8334,5700,328
12/20,8454,5822,323.5
12/23,8643,5785,330.5
12/24,8732,5876,322
12/25,8726,5872,326
12/26,8778,5895,324.5
12/27,8746,5851,319
12/30,8723,5849,305
12/31,8610,5776,317
1/2,8190,5593,311
1/3,8587,5443,314
1/6,8666,5429,315.5
1/7,8633,5395,317.5
1/8,8522,5345,314
1/9,8651,5545,307
1/10,8579,5807,297.5
1/13,8458,5832,294.5
1/14,8585,5827,295.5
1/15,9087,5756,286
1/16,8794,5580,293
1/17,8720,5515,287.5
1/20,8585,5413,294
1/21,8670,5093,288
1/22,8607,4926,293.5
2/3,8614,4925,270
2/4,8562,4920,278
2/5,8361,4795,282
2/6,8144,4648,287
2/7,8220,4692,306
2/10,8340,4882,299
2/11,8046,4799,304
2/12,7721,4894,320
2/13,7538,4815,308
2/14,7300,4622,309.5
2/17,7452,4564,316
2/18,7406,4519,316.5
2/19,7139,4234,316
2/20,6845,4083,314
2/21,6847,4088,317.5
2/24,6840,4081,328
2/25,7283,4543,320.5
2/26,6953,4661,316.5
2/27,6946,4670,306
3/3,7102,4628,288
3/4,7323,4616,299
3/5,7197,4525,304.5
3/6,7137,4246,313.5
3/7,6775,4284,298
3/10,6452,6452,290
3/11,6323,4017,283.5
3/12,6318,4025,286.5
3/13,6050,3870,283.5
3/14,6066,3854,284
3/17,6018,3822,292.5
3/18,6116,3850,284.5
3/19,5749,3893,275
3/20,5649,3896,277
3/21,4898,3454,270
3/24,4663,3508,263.5
3/25,4612,3506,268.5
3/26,4861,3505,265
3/27,4783,3556,257
3/28,4634,3505,246.5
3/31,4760,3663,222
4/1,4911,3571,230
4/2,4987,3440,234
4/7,5142,3356,211
4/8,5512,3330,190
4/9,6031,3330,171
4/10,6207,3303,188
4/11,6216,3346,198
4/14,6129,3382,199.5
4/15,6370,3398,213.5
4/16,7016,3419,205
4/17,6903,3435,210
4/18,6597,3377,206.5
4/21,6891,3412,196.5
4/22,7080,3449,191.5
4/23,7233,3446,205
4/24,7225,3413,204
4/25,7407,3413,209.5
4/28,7388,3412,211
4/29,7645,3410,218
4/30,7392,3315,211
5/2,6916,3051,219.5
5/5,6940,3061,213.5
5/6,6289,2854,218
