Date,SBL,SBL_S,Price
10月22日,6781,6479,61.2
10月25日,6841,6576,63
10月26日,6674,6571,61
10月27日,6978,6584,58.2
10月28日,6726,6584,64
10月29日,7671,7327,63.3
11月1日,7795,7227,61.5
11月2日,7188,6846,62.7
11月3日,7708,7147,59.2
11月4日,7719,7349,57.8
11月5日,8070,7597,57.6
11月8日,7731,7302,58.1
11月9日,7477,7065,58.9
11月10日,7796,7372,58
11月11日,8035,7481,57.7
11月12日,8166,7700,58.7
11月15日,8324,7837,58.1
11月16日,8371,7939,57.8
11月17日,8480,8081,58.3
11月18日,8602,8433,63.9
11月19日,8866,8663,63.8
11月22日,9459,9094,66.2
11月23日,9737,9443,64.9
11月24日,9609,9395,71.3
11月25日,10500,9988,69.3
11月26日,9372,8924,70
11月29日,9825,9414,63
11月30日,9809,9441,65
12月1日,10065,9760,63.9
12月2日,9942,9706,63.5
12月3日,9918,9681,64.8
12月6日,10243,9947,66.5
12月7日,10093,9830,66.9
12月8日,10061,9809,69.4
12月9日,10046,9794,68.5
12月10日,9152,8929,70.8
12月13日,9316,9097,69.7
12月14日,9165,8946,67.1
12月15日,8817,8612,68.6
12月16日,8172,8125,68.2
12月17日,8820,8773,68.7
12月20日,8955,8553,67.5
12月21日,8933,8547,68.2
12月22日,8873,8398,68
12月23日,8873,8398,69.5
12月24日,8935,8460,69.7
12月27日,8939,8461,67.7
12月28日,8163,8113,69
12月29日,7868,7821,68.7
12月30日,7581,7534,69.3
1月3日,7842,7795,66.7
1月4日,8447,7949,66.7
1月5日,8492,8044,65.6
1月6日,8866,8270,64.5
1月7日,9051,8502,64.1
1月10日,8876,8544,65.1
1月11日,8876,8594,63.8
1月12日,8945,8627,63.3
1月13日,8434,8267,64.4
1月14日,8304,8177,62.2
1月17日,8365,8161,63.4
1月18日,8163,8037,62.9
1月19日,8070,7948,62.1
1月20日,8150,8071,62.2
1月21日,8131,8009,60.7
1月24日,8203,8021,59.6
1月25日,8559,7986,58
1月26日,8139,7941,61.1
2月7日,8016,7823,62.6
2月8日,8058,7877,64.7
2月9日,7650,7477,64.5
2月10日,7496,7323,64
2月11日,7440,7267,63.2
2月14日,7423,7295,63.2
2月15日,7075,6948,63.5
2月16日,7021,6895,66.7
2月17日,6514,6460,65.4
2月18日,5741,5687,65.8
2月21日,5624,5566,66.3
2月22日,6036,5982,64.9
2月23日,6330,6239,65.8
2月24日,6493,6406,62
2月25日,5597,5514,63.1
3月1日,5645,5563,63.2
3月2日,5490,5314,63.2
3月3日,5329,5109,62.7
3月4日,5346,5147,61.9
3月7日,5472,5273,61.9
3月8日,5489,5312,57.1
3月9日,5776,5357,57.6
3月10日,5524,5237,58.9
