Date,SBL,SBL_S,Price
3月3日,17480,17387,267
3月6日,17701,17501,269.5
3月7日,18067,17986,267
3月8日,17914,17890,264
3月9日,17695,17683,264
3月10日,18160,18155,258.5
3月13日,18274,18272,256.5
3月14日,18383,18383,253.5
3月15日,18422,18398,260
3月16日,18706,18216,250.5
3月17日,18918,18314,254
3月20日,18840,18267,254.5
3月21日,18705,18172,254.5
3月22日,18349,17828,260.5
3月23日,18707,18195,261.5
3月24日,18546,18196,269
3月27日,18411,18080,269
3月28日,17974,17734,261.5
3月29日,17730,17490,270.5
3月30日,17664,17443,270.5
3月31日,17215,17008,267
4月6日,16773,16759,271.5
4月7日,16555,16541,272.5
4月10日,16852,16791,267.5
4月11日,16323,16312,267
4月12日,16267,15980,270
4月13日,16282,15738,279
4月14日,16586,16045,274.5
4月17日,16252,15711,275
4月18日,16259,15718,278.5
4月19日,16212,15671,281
4月20日,16960,16179,270.5
4月21日,17612,16841,253
4月24日,18805,17515,251
4月25日,19880,17845,242
4月26日,20226,18013,239.5
4月27日,19909,18002,238
4月28日,20162,18527,241
5月2日,20408,18651,248.5
5月3日,20477,18767,245.5
5月4日,20174,18795,247
5月5日,20401,18919,245
5月8日,20553,18748,239.5
5月9日,20758,19199,239.5
5月10日,20307,18935,242.5
5月11日,20423,18978,237
5月12日,20518,19531,224
5月15日,20790,19624,221
5月16日,20605,19391,226
5月17日,20159,18926,229
5月18日,20110,18896,227
5月19日,20212,18933,223.5
5月22日,20234,19001,228.5
5月23日,19834,18892,232
5月24日,19545,18604,228.5
5月25日,19469,18519,225
5月26日,19340,18486,220.5
5月29日,19100,18534,224.5
5月30日,18895,18360,223
5月31日,18576,18120,230.5
6月1日,18562,18058,228
6月2日,18585,18016,239.5
6月5日,18863,18128,236
6月6日,19197,18109,239.5
6月7日,19909,18103,240
6月8日,19552,18025,233.5
6月9日,17909,17477,239
6月12日,17612,17181,241
6月13日,17468,17052,240
6月14日,17403,17067,236.5
6月15日,17764,17188,230.5
6月16日,17168,16859,216
6月19日,16947,16661,216
6月20日,17016,16641,215.5
6月21日,17207,16841,210
6月26日,18158,17027,209.5
6月27日,18531,17409,220
6月28日,18621,17500,219.5
6月29日,18623,17518,220
6月30日,20203,17601,216
7月3日,20291,17716,212
7月4日,20328,17799,210
7月5日,20514,17995,209
7月6日,20764,18272,206
7月7日,20800,18505,205
7月10日,21014,18831,208
7月11日,21209,19063,205.5
7月12日,21607,19524,202
7月13日,21978,19995,192.5
7月14日,22199,20214,198
7月17日,22256,20299,210
7月18日,22378,20438,202.5
7月19日,21261,20383,208
7月20日,21170,20315,211
7月21日,21106,20225,205
7月24日,20914,20054,203.5
7月25日,20784,19924,206.5
7月26日,20844,19743,200.5
7月27日,20390,19549,200
7月28日,20550,19547,198.5
7月31日,20501,19702,194
8月1日,22286,19727,194.5
8月2日,22510,19736,189
8月4日,22570,19721,192
8月7日,22773,19997,188
8月8日,22832,20094,184
8月9日,22934,20218,184
8月10日,23040,20343,183.5
8月11日,22989,20313,184.5
8月14日,23264,20362,175.5
8月15日,23127,20238,181
8月16日,22255,19383,186.5
8月17日,21974,18831,186.5
8月18日,21187,18223,184
8月21日,21037,18080,188.5
8月22日,21357,18332,183.5
8月23日,21070,18078,182
8月24日,20714,17729,181
8月25日,20449,17466,181.5
8月28日,20285,17280,182.5
8月29日,20452,17126,188
8月30日,19815,16799,198
8月31日,20249,17119,198.5
9月1日,20490,17342,195
9月4日,20355,17188,195
9月5日,20420,17325,181.5
9月6日,20231,17314,179
9月7日,20594,17471,177.5
9月8日,20781,17706,179
9月11日,20595,17815,179
9月12日,20622,17860,180.5
9月13日,21357,17985,180
9月14日,21043,17833,183
9月15日,21362,17774,186
9月18日,21111,17577,185
9月19日,21025,17490,181
9月20日,20931,17407,179.5
9月21日,20747,17276,176.5
9月22日,20739,17100,176.5
9月25日,20495,17031,178.5
9月26日,20434,16977,173.5
9月27日,19626,16829,177
9月28日,19538,16789,174.5
10月2日,20751,16806,176.5
10月3日,20000,16964,172
10月4日,20081,17095,168.5
10月5日,19868,17102,174
10月6日,19419,16771,176.5
10月11日,19234,16594,176.5
10月12日,18678,16193,176
10月13日,18525,16034,173.5
10月16日,18407,15958,181.5
10月17日,18443,15997,180
10月18日,18228,15750,175
10月19日,18491,16030,190.5
10月20日,18737,16279,183.5
10月23日,18589,16143,189
10月24日,19148,16570,189.5
10月25日,19158,16587,194.5
10月26日,19332,16764,197
10月27日,19559,17049,203.5
10月30日,19793,17323,198
10月31日,19728,17279,196
11月1日,19528,17075,195.5
11月2日,19291,16871,192
11月3日,19221,16804,193
11月6日,19156,16753,198
11月7日,19191,16681,217.5
11月8日,19949,17377,226.5
11月9日,20170,17774,230.5
11月10日,19927,17370,220.5
11月13日,20155,17670,218
11月14日,19758,17389,211.5
11月15日,18545,16176,214
11月16日,19103,16515,211.5
11月17日,18906,16413,206.5
11月20日,18817,16365,206
11月21日,18948,16508,205.5
11月22日,19962,17189,204.5
11月23日,19939,17260,204
11月24日,19875,17259,205
11月27日,19700,17261,204
11月28日,19683,17250,204
11月29日,19836,17346,208
11月30日,20504,17706,205
12月1日,20273,17778,205
12月4日,20278,17850,205
12月5日,20821,18295,198
